Date,"('CLOSE', 'BTC-USD')","('HIGH', 'BTC-USD')","('LOW', 'BTC-USD')","('OPEN', 'BTC-USD')","('VOLUME', 'BTC-USD')"
2020-12-19,23869.832031,24085.855469,22826.472656,23132.865234,38487546580
2020-12-20,23477.294922,24209.660156,23147.710938,23861.765625,37844228422
2020-12-21,22803.082031,24059.982422,22159.367188,23474.455078,45852713981
2020-12-22,23783.029297,23789.902344,22430.605469,22794.039062,44171632681
2020-12-23,23241.345703,24024.490234,22802.646484,23781.974609,51146161904
2020-12-24,23735.949219,23768.337891,22777.597656,23240.203125,41080759713
2020-12-25,24664.791016,24710.101562,23463.673828,23733.570312,42068395846
2020-12-26,26437.037109,26718.070312,24522.689453,24677.015625,48332647295
2020-12-27,26272.294922,28288.839844,25922.769531,26439.373047,66479895605
2020-12-28,27084.808594,27389.111328,26207.640625,26280.822266,49056742893
2020-12-29,27362.437500,27370.720703,25987.298828,27081.810547,45265946774
2020-12-30,28840.953125,28937.740234,27360.089844,27360.089844,51287442704
2020-12-31,29001.720703,29244.876953,28201.992188,28841.574219,46754964848
2021-01-01,29374.152344,29600.626953,28803.585938,28994.009766,40730301359
2021-01-02,32127.267578,33155.117188,29091.181641,29376.455078,67865420765
2021-01-03,32782.023438,34608.558594,32052.316406,32129.408203,78665235202
2021-01-04,31971.914062,33440.218750,28722.755859,32810.949219,81163475344
2021-01-05,33992.429688,34437.589844,30221.187500,31977.041016,67547324782
2021-01-06,36824.363281,36879.699219,33514.035156,34013.613281,75289433811
2021-01-07,39371.042969,40180.367188,36491.191406,36833.875000,84762141031
2021-01-08,40797.609375,41946.738281,36838.636719,39381.765625,88107519480
2021-01-09,40254.546875,41436.351562,38980.875000,40788.640625,61984162837
2021-01-10,38356.441406,41420.191406,35984.628906,40254.218750,79980747690
2021-01-11,35566.656250,38346.531250,30549.599609,38346.531250,123320567399
2021-01-12,33922.960938,36568.527344,32697.976562,35516.359375,74773277909
2021-01-13,37316.359375,37599.960938,32584.667969,33915.121094,69364315979
2021-01-14,39187.328125,39966.406250,36868.562500,37325.109375,63615990033
2021-01-15,36825.367188,39577.710938,34659.589844,39156.707031,67760757881
2021-01-16,36178.140625,37864.367188,35633.554688,36821.648438,57706187875
2021-01-17,35791.277344,36722.351562,34069.320312,36163.648438,52359854336
2021-01-18,36630.074219,37299.285156,34883.843750,35792.238281,49511702429
2021-01-19,36069.804688,37755.890625,36069.804688,36642.234375,57244195486
2021-01-20,35547.750000,36378.328125,33570.476562,36050.113281,66834573161
2021-01-21,30825.699219,35552.679688,30250.750000,35549.398438,75643067688
2021-01-22,33005.761719,33811.851562,28953.373047,30817.625000,77207272511
2021-01-23,32067.642578,33360.976562,31493.160156,32985.757812,48354737975
2021-01-24,32289.378906,32944.007812,31106.685547,32064.376953,48643830599
2021-01-25,32366.392578,34802.742188,32087.787109,32285.798828,59897054838
2021-01-26,32569.849609,32794.550781,31030.265625,32358.613281,60255421470
2021-01-27,30432.546875,32564.029297,29367.138672,32564.029297,62576762015
2021-01-28,33466.097656,33858.312500,30023.207031,30441.041016,76517157706
2021-01-29,34316.386719,38406.261719,32064.814453,34318.671875,117894572511
2021-01-30,34269.523438,34834.707031,32940.187500,34295.933594,65141828798
2021-01-31,33114.359375,34288.332031,32270.175781,34270.878906,52754542671
2021-02-01,33537.175781,34638.214844,32384.228516,33114.578125,61400400660
2021-02-02,35510.289062,35896.882812,33489.218750,33533.199219,63088585433
2021-02-03,37472.089844,37480.187500,35443.984375,35510.820312,61166818159
2021-02-04,36926.066406,38592.175781,36317.500000,37475.105469,68838074392
2021-02-05,38144.308594,38225.906250,36658.761719,36931.546875,58598066402
2021-02-06,39266.011719,40846.546875,38138.386719,38138.386719,71326033653
2021-02-07,38903.441406,39621.835938,37446.152344,39250.191406,65500641143
2021-02-08,46196.464844,46203.929688,38076.324219,38886.828125,101467222687
2021-02-09,46481.105469,48003.722656,45166.960938,46184.992188,91809846886
2021-02-10,44918.183594,47145.566406,43881.152344,46469.761719,87301089896
2021-02-11,47909.332031,48463.468750,44187.761719,44898.710938,81388911810
2021-02-12,47504.851562,48745.734375,46424.976562,47877.035156,76555041196
2021-02-13,47105.515625,48047.746094,46392.281250,47491.203125,70250456155
2021-02-14,48717.289062,49487.640625,47114.507812,47114.507812,71248675228
2021-02-15,47945.058594,48875.570312,46347.476562,48696.535156,77069903166
2021-02-16,49199.871094,50341.101562,47201.304688,47944.457031,77049582886
2021-02-17,52149.007812,52533.914062,49072.378906,49207.277344,80820545404
2021-02-18,51679.796875,52474.105469,51015.765625,52140.972656,52054723579
2021-02-19,55888.132812,56113.652344,50937.277344,51675.980469,63495496918
2021-02-20,56099.519531,57505.226562,54626.558594,55887.335938,68145460026
2021-02-21,57539.945312,58330.570312,55672.609375,56068.566406,51897585191
2021-02-22,54207.320312,57533.390625,48967.566406,57532.738281,92052420332
2021-02-23,48824.425781,54204.929688,45290.589844,54204.929688,106102492824
2021-02-24,49705.332031,51290.136719,47213.500000,48835.085938,63695521388
2021-02-25,47093.851562,51948.968750,47093.851562,49709.082031,54506565949
2021-02-26,46339.761719,48370.785156,44454.843750,47180.464844,350967941479
2021-02-27,46188.453125,48253.269531,45269.027344,46344.773438,45910946382
2021-02-28,45137.769531,46716.429688,43241.617188,46194.015625,53443887451
2021-03-01,49631.242188,49784.015625,45115.093750,45159.503906,53891300112
2021-03-02,48378.988281,50127.511719,47228.843750,49612.105469,47530897720
2021-03-03,50538.242188,52535.136719,48274.320312,48415.816406,53220811975
2021-03-04,48561.167969,51735.089844,47656.929688,50522.304688,52343816680
2021-03-05,48927.304688,49396.429688,46542.515625,48527.031250,48625928883
2021-03-06,48912.382812,49147.218750,47257.527344,48899.230469,34363564661
2021-03-07,51206.691406,51384.367188,48918.679688,48918.679688,43137459378
2021-03-08,52246.523438,52314.070312,49506.054688,51174.117188,48597428048
2021-03-09,54824.117188,54824.117188,51981.832031,52272.968750,50912227385
2021-03-10,56008.550781,57258.253906,53290.890625,54824.011719,57295577614
2021-03-11,57805.121094,58091.062500,54484.593750,55963.179688,56772343595
2021-03-12,57332.089844,57996.621094,55376.648438,57821.218750,55689944702
2021-03-13,61243.085938,61683.863281,56217.972656,57343.371094,60669829814
2021-03-14,59302.316406,61597.917969,59302.316406,61221.132812,43901225564
2021-03-15,55907.199219,60540.992188,55393.164062,59267.429688,66419369890
2021-03-16,56804.902344,56833.179688,53555.027344,55840.785156,59749798599
2021-03-17,58870.894531,58969.816406,54528.628906,56825.828125,60258313191
2021-03-18,57858.921875,60116.250000,54253.578125,58893.078125,55746041000
2021-03-19,58346.652344,59498.375000,56643.703125,57850.441406,49063873786
2021-03-20,58313.644531,60031.285156,58213.296875,58332.261719,50361731222
2021-03-21,57523.421875,58767.898438,56005.617188,58309.914062,51943414539
2021-03-22,54529.144531,58471.480469,54288.156250,57517.890625,56521454974
2021-03-23,54738.945312,55985.441406,53470.695312,54511.660156,56435023914
2021-03-24,52774.265625,57262.382812,52514.332031,54710.488281,70567223787
2021-03-25,51704.160156,53392.386719,50856.570312,52726.746094,67999812841
2021-03-26,55137.312500,55137.312500,51579.855469,51683.011719,56652197978
2021-03-27,55973.511719,56568.214844,54242.910156,55137.566406,47266542233
2021-03-28,55950.746094,56610.312500,55071.113281,55974.941406,47686580918
2021-03-29,57750.199219,58342.097656,55139.339844,55947.898438,57625587027
2021-03-30,58917.691406,59447.222656,57251.550781,57750.132812,54414116432
2021-03-31,58918.832031,59930.027344,57726.417969,58930.277344,65520826225
2021-04-01,59095.808594,59586.070312,58505.277344,58926.562500,61669163792
2021-04-02,59384.312500,60267.187500,58869.281250,59098.878906,58727860620
2021-04-03,57603.890625,60110.269531,57603.890625,59397.410156,59641344484
2021-04-04,58758.554688,58913.746094,57168.675781,57604.839844,50749662970
2021-04-05,59057.878906,59891.296875,57694.824219,58760.875000,60706272115
2021-04-06,58192.359375,59479.578125,57646.808594,59171.933594,66058027988
2021-04-07,56048.937500,58731.144531,55604.023438,58186.507812,75645303584
2021-04-08,58323.953125,58338.738281,55879.085938,56099.914062,53053855641
2021-04-09,58245.003906,58937.046875,57807.863281,58326.562500,46655208546
2021-04-10,59793.234375,61276.664062,58038.707031,58253.777344,58238470525
2021-04-11,60204.964844,60790.554688,59289.796875,59846.230469,46280252580
2021-04-12,59893.453125,61253.035156,59589.875000,60175.945312,51828688519
2021-04-13,63503.457031,63742.285156,59869.957031,59890.019531,69983454362
2021-04-14,63109.695312,64863.097656,61554.796875,63523.753906,77451779687
2021-04-15,63314.011719,63821.671875,62208.964844,63075.195312,60954381579
2021-04-16,61572.789062,63594.722656,60222.531250,63258.503906,84293007468
2021-04-17,60683.820312,62572.175781,60361.351562,61529.921875,66138759198
2021-04-18,56216.183594,61057.457031,52829.535156,60701.886719,97468872758
2021-04-19,55724.265625,57520.054688,54368.593750,56191.585938,65344865159
2021-04-20,56473.031250,57062.148438,53448.046875,55681.792969,67849323955
2021-04-21,53906.089844,56757.972656,53695.468750,56471.128906,54926612466
2021-04-22,51762.273438,55410.230469,50583.812500,53857.105469,74798630778
2021-04-23,51093.652344,52120.792969,47714.664062,51739.808594,86668667320
2021-04-24,50050.867188,51167.562500,48805.285156,51143.226562,49014494781
2021-04-25,49004.253906,50506.019531,47159.484375,50052.832031,46117114240
2021-04-26,54021.753906,54288.003906,48852.796875,49077.792969,58284039825
2021-04-27,55033.117188,55416.964844,53319.187500,54030.304688,49448222757
2021-04-28,54824.703125,56227.207031,53887.917969,55036.636719,48000572955
2021-04-29,53555.109375,55115.843750,52418.027344,54858.089844,46088929780
2021-04-30,57750.175781,57900.718750,53129.601562,53568.664062,52395931985
2021-05-01,57828.050781,58448.339844,57052.273438,57714.664062,42836427360
2021-05-02,56631.078125,57902.593750,56141.906250,57825.863281,38177405335
2021-05-03,57200.292969,58973.308594,56590.871094,56620.273438,51713139031
2021-05-04,53333.539062,57214.179688,53191.425781,57214.179688,68564706967
2021-05-05,57424.007812,57911.363281,52969.054688,53252.164062,69241316747
2021-05-06,56396.515625,58363.316406,55382.507812,57441.308594,69523285106
2021-05-07,57356.402344,58606.632812,55321.847656,56413.953125,68434023376
2021-05-08,58803.777344,59464.613281,56975.210938,57352.765625,65382980634
2021-05-09,58232.316406,59210.882812,56482.003906,58877.390625,65906690347
2021-05-10,55859.796875,59519.355469,54071.457031,58250.871094,71776546298
2021-05-11,56704.574219,56872.542969,54608.652344,55847.242188,61308396325
2021-05-12,49150.535156,57939.363281,49150.535156,56714.531250,75215403907
2021-05-13,49716.191406,51330.843750,46980.019531,49735.433594,96721152926
2021-05-14,49880.535156,51438.117188,48868.578125,49682.980469,55737497453
2021-05-15,46760.187500,50639.664062,46664.140625,49855.496094,59161047474
2021-05-16,46456.058594,49720.042969,43963.351562,46716.636719,64047871555
2021-05-17,43537.511719,46623.558594,42207.289062,46415.898438,74903638450
2021-05-18,42909.402344,45812.457031,42367.832031,43488.058594,56187365084
