date,ticker,q_stop,stop_reason,regime,lambda1,lambda_int,delta_lambda,rs_value,sigma_lo,sigma_hi,sigma_center,window,alpha,adjacency,laplacian,n_nodes,n_edges,n_components,lcc_fraction,zero_degree_fraction,data_hash,prices_file_mtime,git_commit,tau,delta_ds_max,r2_exp,r2_power
2002-08-27,SPX,0.1,gap,Degenerate,0.0,0.9304345758667071,0.9304345758667071,0.9748098352796949,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13350,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.025512867745982784,0.10148453836209248,0.999469457789079,0.999346891618811
2002-08-28,SPX,0.05,gap,Degenerate,0.0,0.28934711280710745,0.28934711280710745,0.9920973839635115,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13153,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.007934007197500408,0.10087051943543124,0.9993789072422473,0.9993391042230163
2002-08-29,SPX,0.1,gap,Degenerate,0.0,0.8341454937910369,0.8341454937910369,0.9773870098782528,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13287,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02287258472114968,0.10159456162857317,0.9994436746353274,0.9993316073064342
2002-08-30,SPX,0.1,gap,Degenerate,0.0,0.9793819995230852,0.9793819995230852,0.9735023651859757,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,12488,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.026855024603264777,0.09475201513014841,0.9995099905263098,0.999385620028374
2002-09-03,SPX,0.05,gap,Degenerate,0.0,0.27608288249868723,0.27608288249868723,0.9924582855377289,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13100,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.007570296988971505,0.10111959458659425,0.9993656887894827,0.9993272198081726
2002-09-04,SPX,0.05,gap,Degenerate,0.0,0.2782693987753251,0.2782693987753251,0.9923987843829696,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13198,7,0.9762845849802372,0.023715415019762844,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.00763025209171297,0.10200373204712465,0.9993879499267574,0.9993499848621977
2002-09-05,SPX,0.1,gap,Degenerate,0.0,0.7250610027049501,0.7250610027049501,0.9803148859385998,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,12847,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.019881446744978996,0.09692737450539646,0.9994464815852877,0.9993498080282561
2002-09-06,SPX,0.1,gap,Degenerate,0.0,0.5805033090044134,0.5805033090044134,0.9842083956603326,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13428,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.015917620145338065,0.10245301053255362,0.999419050882134,0.999340689681442
2002-09-09,SPX,0.1,gap,Degenerate,0.0,0.6173545181549915,0.6173545181549915,0.9832143808813855,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13562,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.016928094228873133,0.10586460508755746,0.9994467486714469,0.9993656173301353
2002-09-10,SPX,0.1,gap,Degenerate,0.0,0.827042959183139,0.827042959183139,0.9775773786242672,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13780,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02267783053766099,0.10734361320078734,0.9994742473559959,0.9993671800998368
2002-09-11,SPX,0.1,gap,Degenerate,0.0,0.8006766146633221,0.8006766146633221,0.97828439830704,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14132,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02195485540525848,0.10899236482042163,0.9994601765638569,0.9993555264446318
2002-09-12,SPX,0.1,gap,Degenerate,0.0,0.8656374309196132,0.8656374309196132,0.9765433801452937,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14921,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.023736105540201093,0.11695288531558523,0.9994640674661801,0.9993517299766906
2002-09-13,SPX,0.1,gap,Degenerate,9.320841889951953e-16,0.5944251564901933,0.5944251564901925,0.9838327533677619,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14679,4,0.9881422924901185,0.011857707509881422,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01629936246542926,0.11825096274005409,0.9993883568913459,0.9993068244187511
2002-09-16,SPX,0.1,gap,Degenerate,0.0,0.5821865593776254,0.5821865593776254,0.9841629702144102,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14349,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.015963775506788527,0.12236032858204482,0.9993263011780559,0.9992421533776775
2002-09-17,SPX,0.1,gap,Degenerate,0.0,0.6796892022236084,0.6796892022236084,0.9815352663594318,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14284,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.018637334826632337,0.1169211241062672,0.9993573951346812,0.999260393691083
2002-09-18,SPX,0.1,gap,Degenerate,0.0,0.4007215343536326,0.4007215343536326,0.9890722109373878,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14195,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.010987935932419755,0.12496843543507852,0.9991382489462479,0.9990717429764279
2002-09-19,SPX,0.1,gap,Degenerate,0.0,0.534125309796491,0.534125309796491,0.9854608118905176,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,12759,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.014645917877596322,0.10757799413665314,0.9992287388598402,0.9991438638844924
2002-09-20,SPX,0.1,gap,Degenerate,0.0,0.5089249230054904,0.5089249230054904,0.9861420047086784,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13658,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.013954913746814197,0.11955085968339407,0.9989479529335391,0.9988515925301898
2002-09-23,SPX,0.1,gap,Degenerate,0.0,0.5268172541265457,0.5268172541265457,0.9856583078238201,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,13996,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.014445528228905638,0.12590587726689761,0.9989737755667663,0.998876137633089
2002-09-24,SPX,0.1,gap,Degenerate,0.0,0.37493927314058356,0.37493927314058356,0.9897716920053361,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,11560,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.010280976585054384,0.09740307978772372,0.9993400293935224,0.9992862160150914
2002-09-25,SPX,0.1,gap,Degenerate,2.525347691410932e-16,0.4015135173654746,0.4015135173654743,0.989050732010124,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,12444,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.011009652405949729,0.11052934752751031,0.9992402432469157,0.999178164161681
