Date,"('CLOSE', 'IWM')","('HIGH', 'IWM')","('LOW', 'IWM')","('OPEN', 'IWM')","('VOLUME', 'IWM')"
2010-05-14,56.085186,56.843096,55.327282,56.818908,86134200
2010-05-17,56.189999,56.899527,54.625804,56.439945,78565900
2010-05-18,55.109554,57.084955,54.932171,56.923695,87146900
2010-05-19,54.456482,55.472403,53.682449,54.859624,107292800
2010-05-20,51.698978,53.311548,51.666726,53.029343,166841100
2010-05-21,52.464951,52.924533,50.602432,50.852381,139644500
2010-05-24,51.763481,52.739091,51.715106,52.247257,75991800
2010-05-25,51.755432,51.795743,49.755843,50.634693,110830700
2010-05-26,51.884430,53.174484,51.586105,51.956999,104172900
2010-05-27,54.109764,54.133952,51.884417,53.182536,86856200
2010-05-28,53.416367,54.158147,52.997101,53.948517,92369800
2010-06-01,51.795746,53.593764,51.755435,52.892294,88420300
2010-06-02,53.271240,53.295428,51.618354,52.110188,61553800
2010-06-03,53.956577,54.093644,53.109982,53.376051,74864100
2010-06-04,51.247463,52.972909,51.094267,52.497204,105547200
2010-06-07,49.925144,51.690910,49.876769,51.473212,88434200
2010-06-08,49.900970,50.473432,48.941493,50.078354,129072000
2010-06-09,49.933212,51.134575,49.659075,50.287976,108638000
2010-06-10,51.658680,51.666745,50.634698,50.820143,75497300
2010-06-11,52.360142,52.432704,50.941079,51.029770,65295200
2010-06-14,52.690712,53.617941,52.537522,53.053544,70543000
2010-06-15,54.013016,54.158147,52.698774,53.150291,72336400
2010-06-16,53.763065,54.327462,53.416363,53.537307,62369400
2010-06-17,53.827576,54.182337,53.190610,54.085587,67327600
2010-06-18,53.859825,54.448410,53.577621,53.996892,52760900
2010-06-21,53.303493,54.827371,52.989043,54.722557,58648400
2010-06-22,52.206936,54.101704,52.142432,53.505055,70827400
2010-06-23,52.061802,52.618140,51.449027,52.069866,70315300
2010-06-24,51.231342,52.029563,51.110398,51.626420,72504900
2010-06-25,52.110176,52.343999,50.957192,51.424835,87177700
2010-06-28,51.811874,52.602030,51.529673,52.077944,64643900
2010-06-29,49.852592,50.973328,49.489764,50.973328,110269700
2010-06-30,49.280132,50.489560,49.135001,49.691339,93806400
2010-07-01,48.925358,49.505884,47.667553,49.344626,114225800
2010-07-02,48.390656,49.256219,48.067079,49.142968,72084200
2010-07-06,47.759674,49.749660,47.452277,49.231940,89452600
2010-07-07,49.426105,49.466555,47.719249,47.905304,79640200
2010-07-08,50.137962,50.243125,49.377562,49.968086,58770100
2010-07-09,50.914532,50.914532,49.968076,50.137952,38202700
2010-07-12,50.340202,51.108694,49.846750,50.768938,43038300
2010-07-13,51.933788,52.127938,50.833636,51.027782,83581200
2010-07-14,51.747757,52.087509,51.343288,51.788200,52526100
2010-07-15,51.270462,51.852895,50.647580,51.852895,71044000
2010-07-16,49.401829,50.995437,49.256220,50.890274,98127500
2010-07-19,49.612152,49.733491,48.657605,49.563615,63879600
2010-07-20,50.445347,50.534330,48.706130,48.900276,71430700
2010-07-21,49.539352,50.938814,49.426099,50.841740,68456600
2010-07-22,51.302830,51.496976,50.291658,50.299749,81000700
2010-07-23,52.564766,52.669926,50.914529,51.052050,73916800
2010-07-26,53.762009,53.810543,52.516244,52.791286,66248300
2010-07-27,53.567856,54.417237,53.373713,54.247361,84127100
2010-07-28,52.702293,53.737733,52.402984,53.495049,59705100
2010-07-29,52.564766,53.381788,51.731558,53.155287,63214400
2010-07-30,52.597130,53.074406,51.626407,51.852909,67453000
2010-08-02,53.511230,53.826716,53.058221,53.527407,49896600
2010-08-03,53.082497,53.818627,52.653754,53.333265,51145700
2010-08-04,53.640663,53.778187,53.155302,53.373718,40817400
2010-08-05,53.009678,53.559756,52.953053,53.114844,37991000
2010-08-06,52.694206,52.912623,51.658767,52.136037,62483200
2010-08-09,53.276649,53.478884,52.459620,53.082506,35100700
2010-08-10,52.273563,52.912625,51.877179,52.750834,59841700
2010-08-11,50.218849,51.230021,50.081328,51.230021,87392600
2010-08-12,49.968086,50.275483,49.151057,49.223862,63300200
2010-08-13,49.401829,49.895281,49.320936,49.749672,68238000
2010-08-16,49.798214,50.089429,48.843667,49.053990,51371000
2010-08-17,50.655685,51.084425,50.040894,50.332112,54593200
2010-08-18,50.809368,51.310909,50.105590,50.599043,61766600
2010-08-19,49.418003,50.841732,49.296661,50.631410,89236900
2010-08-20,49.466541,49.498896,48.649512,49.240037,64085700
2010-08-23,48.795139,50.089439,48.762781,49.830579,55423700
2010-08-24,48.236965,48.795131,47.565545,48.018552,78875300
2010-08-25,48.965000,49.086342,47.638343,47.840577,64025300
2010-08-26,48.600964,49.571686,48.422996,49.142950,74569900
2010-08-27,49.870998,49.992337,48.180319,49.159133,72003600
2010-08-30,48.778931,49.879086,48.754664,49.628314,42401800
2010-08-31,48.681873,49.272397,48.277404,48.657606,60625100
2010-09-01,50.566704,50.599062,49.361388,49.531264,62585200
2010-09-02,51.124866,51.270476,50.372554,50.550521,45824200
2010-09-03,52.038956,52.200741,51.456520,51.901438,51986300
2010-09-07,51.052063,51.885268,50.890275,51.877177,48881600
2010-09-08,51.351372,51.763932,51.149137,51.173404,58863300
2010-09-09,51.383717,52.160299,50.995427,52.136026,52494300
2010-09-10,51.545506,51.860991,51.246196,51.577861,46973500
2010-09-13,52.799362,52.969245,52.030874,52.136034,60551500
2010-09-14,52.572861,53.082495,52.386808,52.686112,55811200
2010-09-15,52.872173,53.042050,52.038968,52.427255,63008500
2010-09-16,52.532417,52.912619,52.087499,52.742737,52659700
2010-09-17,52.750816,53.001585,51.998504,52.904516,61775400
2010-09-20,54.215008,54.360617,52.556689,52.920709,70669500
2010-09-21,53.899509,54.546662,53.818617,54.214995,64974200
2010-09-22,53.260456,54.117934,52.847902,53.753909,65225800
2010-09-23,52.615723,53.653769,52.437314,52.834688,62724700
2010-09-24,54.326885,54.383653,53.272628,53.353724,71675000
2010-09-27,54.189014,54.464747,53.937616,54.343101,48357100
2010-09-28,54.724274,54.845914,53.321292,54.310677,66176700
2010-09-29,54.878345,55.105416,54.432316,54.643163,53580600
2010-09-30,54.740463,55.591984,54.294427,55.283812,81818000
2010-10-01,55.032444,55.356833,54.537752,55.259515,61763500
2010-10-04,54.286350,55.227073,53.913305,54.886466,56292700
2010-10-05,55.827187,55.965056,54.537747,54.886464,77655500
2010-10-06,55.640667,56.005601,55.324389,55.778530,43163400
2010-10-07,55.478474,56.021822,55.081094,55.973160,39955400
2010-10-08,56.184010,56.492182,55.259504,55.559565,59953200
2010-10-11,56.232655,56.654362,56.070463,56.232655,37345900
2010-10-12,56.378654,56.621948,55.478483,56.086711,51099800
2010-10-13,57.238281,57.692423,56.581391,56.759806,58582200
2010-10-14,57.197720,57.538326,56.678699,57.278815,70382100
2010-10-15,57.003098,57.781628,56.678708,57.692421,74953500
2010-10-18,57.481556,57.603203,56.978758,57.222046,39841500
2010-10-19,56.362427,57.384251,55.916391,56.800351,64627600
2010-10-20,56.938217,57.278823,56.305661,56.638156,54118800
2010-10-21,56.662487,57.651865,55.924501,57.222052,62505300
2010-10-22,57.027405,57.084172,56.573264,56.800334,26267800
2010-10-25,57.368034,58.033030,57.059868,57.449130,36095900
2010-10-26,57.327480,57.716743,56.759798,57.059859,37884100
2010-10-27,57.181484,57.270691,56.394843,56.938191,53515400
2010-10-28,56.832764,57.676173,56.565142,57.627511,48482400
2010-10-29,57.011181,57.311236,56.630024,56.670569,40455100
2010-11-01,56.621933,57.716741,56.208336,57.303151,47357500
2010-11-02,57.797859,57.830299,56.986889,57.311278,55102800
2010-11-03,58.024910,58.081678,57.173389,57.870824,58044500
2010-11-04,59.492764,59.508980,58.892647,59.087278,60908000
2010-11-05,59.825237,60.011763,59.444087,59.565727,45659100
2010-11-08,59.776573,59.938771,59.298104,59.630598,31656700
2010-11-09,58.981873,60.052353,58.657483,59.938818,48438600
2010-11-10,59.638741,59.646852,58.479053,59.062953,53667600
2010-11-11,59.403568,59.638750,58.762901,58.981866,42989400
2010-11-12,58.414169,59.281907,58.308745,58.819654,48799200
2010-11-15,58.422291,59.079175,58.365523,58.698018,38922600
2010-11-16,57.286911,58.130320,56.889538,57.984346,69965600
2010-11-17,57.440994,57.595074,57.092277,57.416666,39512500
2010-11-18,58.560162,58.860223,58.114132,58.122237,52638700
2010-11-19,58.754791,58.884549,58.008700,58.389857,32830300
2010-11-22,59.038624,59.192704,58.178991,58.527709,42163100
2010-11-23,58.479073,58.584496,57.984380,58.324986,52202300
2010-11-24,59.792862,59.809079,58.998108,59.006220,42138400
2010-11-26,59.379234,59.792831,59.306244,59.427891,19004000
2010-11-29,59.468445,59.614420,58.414181,59.160272,47897000
2010-11-30,58.998058,59.403543,58.535806,58.779099,68631800
2010-12-01,60.319946,60.474033,59.046724,60.109099,59974000
2010-12-02,60.928192,61.057950,60.303748,60.392955,42529200
2010-12-03,61.366100,61.552626,60.628121,60.684888,36549400
2010-12-06,61.747253,61.917556,61.228233,61.341768,36177500
2010-12-07,62.104099,62.639336,61.966236,62.493362,66769100
2010-12-08,62.063538,62.452806,61.933786,62.241952,40388800
2010-12-09,62.274414,62.509596,62.023015,62.509596,49384000
2010-12-10,63.052925,63.207011,62.258172,62.485249,43303000
2010-12-13,62.728508,63.409726,62.704180,63.304296,43025600
2010-12-14,62.696087,63.028588,62.590663,63.020476,60000700
2010-12-15,62.501492,63.304351,62.379845,62.647466,52002400
2010-12-16,63.077271,63.231357,62.331179,62.590690,57936100
2010-12-17,63.271862,63.393509,62.679858,63.142110,40362300
2010-12-20,63.523262,63.912524,63.198873,63.507039,42692700
2010-12-21,64.228844,64.293723,63.734151,63.782814,30166800
2010-12-22,64.210091,64.503362,64.128628,64.381165,29812300
2010-12-23,64.128616,64.454474,64.039005,64.324129,25239600
2010-12-27,64.324150,64.438200,63.794631,63.924977,15770300
2010-12-28,64.144928,64.487082,63.965706,64.446348,25827900
2010-12-29,64.283432,64.373037,64.153086,64.234549,18138800
2010-12-30,64.161217,64.535951,64.161217,64.226383,37997400
2010-12-31,63.737595,64.258965,63.680570,64.087891,33323500
2011-01-03,64.845528,65.187676,64.136793,64.307867,48878000
2011-01-04,63.884224,65.089897,63.191779,65.041014,77509000
2011-01-05,64.633682,64.649979,63.631676,63.867923,47145300
2011-01-06,64.332314,64.788511,64.071628,64.682610,39392300
2011-01-07,63.965675,64.715151,63.085867,64.552218,59486800
2011-01-10,64.332314,64.592999,63.232548,63.737622,55020300
2011-01-11,64.592964,64.910674,64.250816,64.649989,42124300
2011-01-12,65.146896,65.277236,64.772162,65.122458,38442600
2011-01-13,65.122475,65.415746,64.821055,65.163203,29687600
2011-01-14,65.611305,65.725355,64.918860,65.057348,38036700
2011-01-18,65.660156,65.684595,65.065471,65.407619,37824100
2011-01-19,63.973839,65.741611,63.835351,65.635709,70707400
2011-01-20,63.305855,63.982009,63.004435,63.656151,79653000
2011-01-21,62.882252,63.737623,62.825227,63.713184,56676500
2011-01-24,63.346569,63.599106,62.800754,62.890365,48142600
2011-01-25,63.444313,63.460609,62.686696,62.979967,47013400
2011-01-26,64.454475,64.666278,63.338414,63.542074,65896200
2011-01-27,64.641853,64.902539,64.136779,64.454489,48174800
2011-01-28,63.061470,64.723335,62.996297,64.609286,91023700
2011-01-31,63.501369,63.949425,62.931122,63.436203,53265200
2011-02-01,64.967712,65.179521,63.843508,64.014583,57786700
2011-02-02,64.723328,65.277285,64.698889,64.837377,39937400
2011-02-03,64.951431,65.049184,63.949419,64.674450,41156200
2011-02-04,65.065475,65.146938,64.552247,64.845519,39532700
2011-02-07,65.709061,66.189697,65.098079,65.155104,40835200
2011-02-08,66.173370,66.205951,65.448333,65.709025,37563900
2011-02-09,65.880096,66.230393,65.513504,65.994146,43298900
2011-02-10,66.140793,66.222256,65.366879,65.440200,48001000
2011-02-11,66.857651,66.882089,65.814910,65.896373,38579100
2011-02-14,67.199814,67.297573,66.841376,66.890252,36730500
2011-02-15,66.816956,67.199838,66.662178,67.020616,42908600
2011-02-16,67.354630,67.468679,66.947308,66.971747,38284700
2011-02-17,67.827103,68.030763,67.167238,67.289436,34891200
2011-02-18,67.900436,68.242585,67.647899,67.981899,39514200
2011-02-22,66.157051,67.631551,66.059292,67.395310,68370300
2011-02-23,65.016594,66.344465,64.592983,66.287440,91258600
2011-02-24,65.432083,65.757941,64.650027,65.138811,85126500
2011-02-25,66.947289,66.971727,65.692739,65.741615,58566800
2011-02-28,67.020615,67.484960,66.466658,67.330183,49869300
2011-03-01,65.676445,67.322019,65.456488,67.273143,70865100
2011-03-02,65.953415,66.287421,65.366872,65.603119,61072300
2011-03-03,67.452362,67.631578,66.010442,66.613276,78937600
2011-03-04,67.159103,67.484955,66.515535,67.444227,60907100
2011-03-07,66.059349,67.468683,65.505398,67.419807,90777900
2011-03-08,67.134682,67.460534,65.619446,66.116379,67755300
2011-03-09,66.865822,67.273143,66.596988,67.004309,51216900
2011-03-10,65.146896,66.010415,64.926940,65.985976,107642100
2011-03-11,65.318024,65.741635,64.584844,64.633721,83202700
2011-03-14,64.967712,65.440206,64.283416,64.633706,60138300
2011-03-15,64.389336,64.902558,63.191810,63.509520,84941700
2011-03-16,63.745731,64.878083,63.346559,64.096028,126014500
2011-03-17,63.884224,64.715162,63.884224,64.625551,63992800
2011-03-18,64.731468,64.837369,64.413758,64.625567,70017700
2011-03-21,66.230438,66.246728,65.464672,65.562432,50638200
2011-03-22,65.880096,66.474782,65.717164,66.328146,52372800
2011-03-23,66.083763,66.279275,65.049164,65.733467,58044700
2011-03-24,66.540115,66.768690,65.911528,66.523785,52850900
2011-03-25,67.119720,67.805446,66.572772,66.923800,78164900
2011-03-28,66.972786,67.560554,66.915642,67.340138,42798300
2011-03-29,67.601357,67.666665,66.597258,67.013589,40967200
2011-03-30,68.474846,68.564644,67.789121,67.895243,42147100
2011-03-31,68.711617,68.809580,68.327934,68.409573,41625800
2011-04-01,69.013618,69.405460,68.776878,69.201374,49160200
2011-04-04,69.168747,69.364668,69.013640,69.193236,42236600
2011-04-05,69.544258,70.001408,68.997304,69.127921,45454400
2011-04-06,69.699348,70.107520,69.315673,69.903434,59035700
2011-04-07,69.282997,70.025866,69.078911,69.764636,69434400
2011-04-08,68.556511,69.683062,68.246296,69.593264,63650400
2011-04-11,67.944214,68.801370,67.674819,68.589119,41784100
2011-04-12,67.054398,67.797273,66.980930,67.585022,58103300
2011-04-13,67.144211,67.601361,66.670730,67.470749,80424900
2011-04-14,67.454414,67.519723,66.491129,66.605417,58532300
2011-04-15,68.172813,68.172813,67.152385,67.478923,53690700
2011-04-18,67.046242,67.152370,66.474804,67.144205,58593400
2011-04-19,67.062538,67.511523,66.670691,67.274789,31991000
2011-04-20,68.434013,68.491157,67.960533,68.164619,47061100
2011-04-21,68.940163,68.964658,68.352401,68.850364,30293300
2011-04-25,68.850349,69.005457,68.385034,68.874845,23441400
2011-04-26,69.536095,69.936101,68.858529,69.005470,53200000
2011-04-27,69.952423,70.017726,69.299346,69.576906,44680600
2011-04-28,70.270805,70.613668,69.813649,69.878958,43464600
2011-04-29,70.523865,70.760605,70.148348,70.360599,41030900
2011-05-02,69.699348,70.866719,69.617715,70.842230,48962400
2011-05-03,68.817719,69.789162,68.344238,69.625896,56070000
2011-05-04,67.927895,68.948323,67.536053,68.915669,64754600
2011-05-05,67.617676,68.638104,67.274813,67.462569,91858900
2011-05-06,67.976860,68.850347,67.625832,68.376872,76446200
2011-05-09,68.768715,68.842189,67.789106,67.895228,45806800
2011-05-10,69.821823,69.829988,69.029969,69.119768,44373700
2011-05-11,68.531990,69.683037,68.205458,69.585073,81313700
2011-05-12,69.136070,69.340156,67.740125,68.140131,80109400
2011-05-13,68.172813,69.380998,67.976887,69.193242,74669000
2011-05-16,67.176857,68.483004,67.119713,67.723805,68771600
2011-05-17,66.964607,67.201347,66.450313,66.638069,76475100
2011-05-18,67.993195,68.017684,66.940112,67.046234,54512200
2011-05-19,68.140167,68.548339,67.536075,68.458541,52914400
2011-05-20,67.642174,68.123813,67.176859,67.960547,56016800
2011-05-23,66.425819,66.899294,66.311532,66.466633,50696600
2011-05-24,66.107437,66.907450,65.984984,66.605400,60223400
2011-05-25,66.940140,67.176880,65.927876,65.936035,60009900
2011-05-26,67.821754,67.854409,66.654384,66.695198,51821300
2011-05-27,68.287102,68.515677,67.968728,68.131995,46619400
2011-05-31,69.258522,69.274852,68.385035,69.070767,77456200
2011-06-01,67.029915,69.242203,66.964606,69.152405,80933800
2011-06-02,67.005424,67.478905,66.613577,67.201345,64666600
2011-06-03,66.025833,66.719730,65.870732,65.968689,76493800
2011-06-06,64.940086,66.180925,64.891102,65.919695,63782200
2011-06-07,65.095222,65.658501,64.923791,65.340128,58242200
2011-06-08,64.368645,65.078865,64.254357,64.874780,67740400
2011-06-09,64.711525,65.070718,64.270705,64.556424,58469700
2011-06-10,63.674767,64.417642,63.389048,64.311513,71823100
2011-06-13,63.495144,64.197199,63.144116,63.862502,60285400
2011-06-14,64.858421,65.046183,63.993100,64.033920,66662700
2011-06-15,63.699268,64.662554,63.446204,64.164584,89262000
2011-06-16,63.846191,64.393140,63.046179,63.748228,81849500
2011-06-17,63.862526,64.597230,63.535987,64.482942,77862900
2011-06-20,64.450272,64.678853,63.617605,63.642094,53343900
2011-06-21,65.846260,65.936052,64.833990,64.964608,75970200
2011-06-22,65.340088,66.213575,65.315599,65.487030,55839700
2011-06-23,65.593155,65.723773,63.919656,64.597216,92521100
2011-06-24,65.258408,65.927808,64.874726,65.821680,73865400
2011-06-27,65.764603,65.895221,64.866626,65.233985,51195400
2011-06-28,66.784988,66.817643,65.854358,65.984976,54021800
2011-06-29,67.103363,67.266635,66.482947,67.021730,68230200
2011-06-30,67.593178,67.797263,67.168676,67.274805,59915500
2011-07-01,68.646286,68.760580,67.446267,67.658512,63908100
2011-07-05,68.811699,68.893577,68.394111,68.721631,48268900
2011-07-06,69.090050,69.196497,68.459579,68.705221,57094100
2011-07-07,70.129936,70.391951,69.548591,69.769664,68556600
2011-07-08,69.704193,69.769698,69.040969,69.286611,61977400
2011-07-11,68.222122,69.212865,68.033796,68.828030,59769800
2011-07-12,67.837296,68.590587,67.779980,67.861858,65322100
2011-07-13,68.443222,69.163767,68.140271,68.271275,79327200
2011-07-14,67.354233,68.918132,67.182286,68.574238,91726600
2011-07-15,67.804535,67.886420,67.288695,67.640778,75496200
2011-07-18,66.715569,67.657180,66.322543,67.501613,56859700
2011-07-19,68.222122,68.295817,67.288695,67.329637,56060800
2011-07-20,68.107491,68.304000,67.673529,68.246684,40277400
2011-07-21,68.729797,69.024565,68.156636,68.320399,63405500
2011-07-22,68.819847,68.991794,68.287628,68.656084,34540200
2011-07-25,68.009262,68.582424,67.755437,67.976509,49764900
2011-07-26,67.493416,68.033818,67.313280,67.861872,52205500
2011-07-27,65.479126,67.067592,65.380868,67.051213,97533300
2011-07-28,65.372726,66.297971,65.249912,65.470984,67439400
2011-07-29,65.290855,65.651128,63.980782,64.455685,93519600
2011-08-01,64.865097,66.314365,64.250999,66.068730,93483200
2011-08-02,62.842648,65.241722,62.728017,64.619435,95669600
2011-08-03,63.260246,63.333935,61.311506,62.793532,114910400
2011-08-04,59.444637,62.400494,59.436448,62.285863,130904800
2011-08-05,58.404758,60.468123,57.037370,60.197919,188585600
2011-08-08,53.320034,58.470265,53.287281,56.505152,170159700
2011-08-09,56.873615,57.004626,52.206474,54.793871,207867000
2011-08-10,54.089722,56.963701,53.934155,55.145970,182376400
2011-08-11,56.791748,57.676050,54.097906,54.458178,121880100
2011-08-12,57.143814,57.807037,56.333207,57.307571,86475800
2011-08-15,58.756874,58.814190,57.626930,57.790693,57616800
2011-08-16,57.676044,58.470278,57.037384,57.798859,79484300
2011-08-17,57.692413,58.560336,57.119258,58.110001,66789100
2011-08-18,54.409027,57.643277,53.893188,55.727290,110692200
2011-08-19,53.451054,55.195095,53.139913,53.229981,99196100
2011-08-22,53.262749,55.014974,52.869723,54.957658,72211900
2011-08-23,55.833752,55.923820,53.107157,53.598434,93274300
2011-08-24,56.660713,57.012796,55.285135,55.776418,67698000
2011-08-25,55.268764,57.553208,55.064065,57.299383,80732900
2011-08-26,56.587059,56.759006,54.089726,55.072286,84468500
2011-08-29,59.264484,59.321800,57.348504,57.373067,53069800
2011-08-30,59.608402,59.993231,58.232824,58.871484,67801600
2011-08-31,59.485565,60.500871,58.871468,59.935899,70313900
2011-09-01,58.208263,60.288008,57.880750,59.526527,86788800
2011-09-02,56.054817,57.348517,55.760050,56.791735,78920100
2011-09-06,55.899239,55.931991,53.983258,53.983258,71493900
2011-09-07,58.011745,58.093624,56.554288,56.824493,68952400
2011-09-08,56.947338,58.380233,56.644381,57.594182,71124100
2011-09-09,55.268764,56.603401,54.654667,56.251318,99453600
2011-09-12,55.743690,55.882884,54.343549,54.351732,100109900
2011-09-13,56.644356,56.873618,55.538981,56.120326,84144100
2011-09-14,57.659649,58.462072,56.038435,57.184745,77019200
2011-09-15,58.470257,58.494820,57.307561,58.191863,74213100
2011-09-16,58.560345,58.977933,58.036315,58.666792,75773300
2011-09-19,57.512272,58.142749,56.865422,57.397641,69216200
2011-09-20,56.619789,58.372013,56.587037,57.716974,63453200
2011-09-21,54.523682,57.012825,54.482746,56.529738,81413800
2011-09-22,53.000717,53.975081,51.985408,52.648634,159808200
2011-09-23,53.543221,53.863789,52.688369,52.811666,84086000
2011-09-26,54.554226,54.644643,52.836303,54.118576,75555800
2011-09-27,55.729652,57.036584,55.294002,55.770747,93999600
2011-09-28,53.592514,55.992674,53.510318,55.721422,85412600
2011-09-29,54.521355,55.088511,52.910292,54.850144,73927200
2011-09-30,52.852757,54.398060,52.803434,53.551431,72124900
2011-10-03,50.132042,53.395267,50.016963,52.450001,119485000
2011-10-04,53.255531,53.329506,49.392265,49.581318,165100000
2011-10-05,53.987076,54.356960,52.540405,53.247300,100371000
2011-10-06,55.187134,55.326867,53.551413,53.847323,85789700
2011-10-07,53.839115,55.573475,53.592521,55.384419,93662300
2011-10-10,56.198181,56.206396,53.872001,55.047420,76366700
