,0
2002-09-25,0.975061698640304
2002-09-26,1.177062946241318
2002-09-27,1.1871067838196203
2002-09-30,1.1588896310415635
2002-10-01,1.1325177883352122
2002-10-02,0.7611106947857489
2002-10-03,0.802282890374999
2002-10-04,0.7742659794418012
2002-10-07,1.1723292972639237
2002-10-08,0.8838315915443088
2002-10-09,0.8783360688537354
2002-10-10,0.8373436257901251
2002-10-11,0.8330584696537013
2002-10-14,0.8201697910589867
2002-10-15,0.7379754938071225
2002-10-16,0.7184364432197827
2002-10-17,0.7518087846520596
2002-10-18,0.7453472051679598
2002-10-21,0.6681406213832555
2002-10-22,0.8035198652143262
2002-10-23,0.8032670799834823
2002-10-24,0.7205562083720608
2002-10-25,0.6952983445060253
2002-10-28,0.7865857881299767
2002-10-29,0.736836435280761
2002-10-30,0.77824875325832
2002-10-31,0.7724239291981468
2002-11-01,0.6880306072292116
2002-11-04,0.6633075337357159
2002-11-05,0.7145638151638902
2002-11-06,0.6872085066271447
2002-11-07,0.7107453031852546
2002-11-08,0.779576450138023
2002-11-11,0.7916546106552778
2002-11-12,0.8019624945992084
2002-11-13,0.8038810210195143
2002-11-14,0.8159869827807125
2002-11-15,0.786678762571015
2002-11-18,0.7639373839808451
2002-11-19,0.7625358406309911
2002-11-20,0.7758622092270968
2002-11-21,0.7336531892103295
2002-11-22,0.7471216035609881
2002-11-25,0.7563483376529371
2002-11-26,0.7354399644519792
2002-11-27,0.7316274633808988
2002-11-29,0.7650776991735615
2002-12-02,0.7732016530945379
2002-12-03,0.7789573959865155
2002-12-04,0.7801318638691962
2002-12-05,0.7723505528600402
2002-12-06,0.7794660124153974
2002-12-09,0.79006035696203
2002-12-10,0.7923701619025922
2002-12-11,0.7876079591194233
2002-12-12,0.7871395378421959
2002-12-13,0.7504802144174222
2002-12-16,0.7577379786371822
2002-12-17,0.7374303544916277
2002-12-18,0.7660899676702826
2002-12-19,0.7556536379883493
2002-12-20,0.7448704362824591
2002-12-23,0.7406502633134493
2002-12-24,0.7372093414016991
2002-12-26,0.7618390182664798
2002-12-27,0.7455336144973552
2002-12-30,0.7410945381369436
2002-12-31,0.7040160731183256
2003-01-02,0.697888460041548
2003-01-03,0.6789043645338538
2003-01-06,0.6743332397521452
2003-01-07,0.7044965366806973
2003-01-08,0.7569047366428576
2003-01-09,0.7402552148713307
2003-01-10,0.7305001039127229
2003-01-13,0.7212613811477643
2003-01-14,0.6802432498362488
2003-01-15,0.6885632073571307
2003-01-16,0.6910253378951179
2003-01-17,0.6836988316218257
2003-01-21,0.6956571885368249
2003-01-22,0.7283235107595616
2003-01-23,0.7557670575747201
2003-01-24,0.7258619837547093
2003-01-27,0.7372079752789604
2003-01-28,0.7351473387789085
2003-01-29,0.7330615431982694
2003-01-30,0.7788374222010166
2003-01-31,0.7924243867141099
2003-02-03,0.7261376151816132
2003-02-04,0.7470095582981884
2003-02-05,0.7875686602949484
2003-02-06,0.7736022899163031
2003-02-07,0.7546405797231388
2003-02-10,0.7636656556882537
2003-02-11,0.764805285659879
2003-02-12,0.7670688453909206
2003-02-13,0.7451697775401248
2003-02-14,0.7447613754987346
2003-02-18,0.7502327788726468
2003-02-19,0.7249216329524399
2003-02-20,0.7481780350976658
2003-02-21,0.7353132563670577
2003-02-24,0.7838168746909753
2003-02-25,0.5133196530563013
2003-02-26,0.8212923507706763
2003-02-27,0.826789006623824
2003-02-28,0.8223898300267067
2003-03-03,0.8233412861040602
2003-03-04,0.789667375106845
2003-03-05,0.7843547700657942
2003-03-06,0.7701151318353646
2003-03-07,0.7566457820208348
2003-03-10,0.775046428695375
2003-03-11,0.7809043207723767
2003-03-12,0.773595010511524
2003-03-13,0.7213147385519826
2003-03-14,0.6461606761048652
2003-03-17,0.621239007974892
2003-03-18,0.7286005912922463
2003-03-19,0.7320116805774532
2003-03-20,0.7230620475618516
2003-03-21,0.7598068849310295
2003-03-24,0.22944234862236193
2003-03-25,0.2421496876185123
2003-03-26,0.20947653503373273
2003-03-27,0.6699816394747501
2003-03-28,0.6105196075851422
2003-03-31,0.7117812338273649
2003-04-01,0.6845119911807265
2003-04-02,0.5413043709569397
2003-04-03,0.6235294174120224
2003-04-04,0.6318949121388806
2003-04-07,0.6129578900763161
2003-04-08,0.6226467681894531
2003-04-09,0.6407890342914346
2003-04-10,0.6319360972125279
2003-04-11,0.6494066197762224
2003-04-14,0.6637665229140609
2003-04-15,0.6400653910100095
2003-04-16,0.6304051025120145
2003-04-17,0.7197077241730412
2003-04-21,0.7065796332176828
2003-04-22,0.6338012449218012
2003-04-23,0.6275865564500233
2003-04-24,0.6969735809228346
2003-04-25,0.6167369498015176
2003-04-28,0.6302001421411969
2003-04-29,0.6913782339644825
2003-04-30,0.6902403325343613
2003-05-01,0.7335481608043939
2003-05-02,0.7432487333195118
2003-05-05,0.7347623018606284
2003-05-06,0.7389569804491833
2003-05-07,0.7157528697067146
2003-05-08,0.713569540463918
2003-05-09,0.7012100042755712
2003-05-12,0.6891643909945582
2003-05-13,0.70502018635743
2003-05-14,0.6908660914083546
2003-05-15,0.6364833277812253
2003-05-16,0.7478857646682969
2003-05-19,0.7436015605892552
2003-05-20,0.7625328530652662
2003-05-21,0.7533722306552074
2003-05-22,0.7681248461717864
2003-05-23,0.7762103737348408
2003-05-27,0.8047429778760538
2003-05-28,0.8192238838295609
2003-05-29,0.82072269767147
2003-05-30,0.8259495696928435
2003-06-02,0.833638059573511
2003-06-03,0.8320886891343868
2003-06-04,0.7982338720613789
2003-06-05,0.8115559995658924
2003-06-06,0.8106293289753218
2003-06-09,0.7873531179946712
2003-06-10,0.7873099489312321
2003-06-11,0.8292350698224995
2003-06-12,0.8199484636338236
2003-06-13,0.821890929744824
2003-06-16,0.8225278304425651
2003-06-17,0.7991543429517189
2003-06-18,0.8013021501035447
2003-06-19,0.8043730535760268
2003-06-20,0.8089706979421364
2003-06-23,0.8740998992830515
2003-06-24,0.9834064412819954
2003-06-25,0.979862382974421
2003-06-26,1.0139460255617787
2003-06-27,0.9855305958962736
2003-06-30,0.9361600615368052
2003-07-01,0.9157884968872089
2003-07-02,0.9321294163492425
2003-07-03,0.9532142462764117
2003-07-07,0.9687340817138101
2003-07-08,0.9866359406916886
2003-07-09,0.9660395511905321
2003-07-10,1.0016142255063172
2003-07-11,1.0111312831202608
2003-07-14,0.9796524140980654
2003-07-15,0.9389720792766607
2003-07-16,0.9422028145822676
2003-07-17,0.9990893987566953
2003-07-18,1.0619159976849213
2003-07-21,1.0476122296906722
2003-07-22,1.0433182566558774
2003-07-23,1.0271101099656634
2003-07-24,1.01641286519841
2003-07-25,1.0391754396422137
2003-07-28,1.009792176514739
2003-07-29,0.9812684916769474
2003-07-30,0.998641013431024
2003-07-31,0.9585426933508714
2003-08-01,1.0058026283530734
2003-08-04,1.04610707730277
2003-08-05,1.068122152389128
2003-08-06,1.0686144065867984
2003-08-07,1.0484341158339137
2003-08-08,1.0333417224980048
2003-08-11,1.0424866875114622
2003-08-12,0.9389368274180108
2003-08-13,0.9714786657802102
2003-08-14,0.917923557444524
2003-08-15,0.9641040757072192
2003-08-18,0.9413815506195476
2003-08-19,0.9564445601866229
2003-08-20,0.9404555630492738
2003-08-21,0.9428508297597207
2003-08-22,1.0491225626856282
2003-08-25,1.067791662501505
2003-08-26,1.0230637732719867
2003-08-27,0.9987260901761368
2003-08-28,0.09260143577445241
2003-08-29,0.096455550372535
2003-09-02,1.0335642096182318
2003-09-03,0.9580414453019993
2003-09-04,0.992246814268
2003-09-05,0.9861815863698119
2003-09-08,1.028316757225903
2003-09-09,1.027567188322197
2003-09-10,0.980093967712429
2003-09-11,0.9607618434722733
2003-09-12,0.967156410262255
2003-09-15,0.9380869344478853
2003-09-16,0.9429054058902095
2003-09-17,0.9017169420192187
2003-09-18,0.8852669476822752
2003-09-19,0.8574553341081723
2003-09-22,0.8226698234494055
2003-09-23,0.8640944804356969
2003-09-24,0.873582628005249
2003-09-25,0.8437297998443306
2003-09-26,0.8731946689483909
2003-09-29,0.8732019043941002
2003-09-30,0.8528632824581206
2003-10-01,0.9259800906437798
2003-10-02,0.9610833499351313
2003-10-03,0.9918934439578875
2003-10-06,0.9826666740855389
2003-10-07,0.9758766833213052
2003-10-08,0.6022763904204413
2003-10-09,0.9524961307605455
2003-10-10,0.8081148747277913
2003-10-13,0.9087575572598319
2003-10-14,0.9217055172857636
2003-10-15,0.10238804055180378
2003-10-16,0.9555702658403458
2003-10-17,0.984456458631681
2003-10-20,1.0220245117403486
2003-10-21,0.9955263725198304
2003-10-22,0.9931252365427872
2003-10-23,0.9900204126358414
2003-10-24,1.0249303722140586
2003-10-27,1.0520007427335165
2003-10-28,1.091897416522604
2003-10-29,0.09691942656196234
2003-10-30,0.09746662904229227
2003-10-31,0.9556978629424893
2003-11-03,0.9713923312630548
2003-11-04,0.994742641798363
2003-11-05,0.9359549642701466
2003-11-06,0.9028850779192296
2003-11-07,0.8921601379349372
2003-11-10,0.9269098586121723
2003-11-11,0.9796703214557537
2003-11-12,1.044173606133965
2003-11-13,0.9608323407437328
2003-11-14,1.0159470632117795
2003-11-17,0.9633437135607176
2003-11-18,0.9380602202250525
2003-11-19,0.9450616336150244
2003-11-20,0.9355106540239286
2003-11-21,0.9368883896582797
2003-11-24,0.9536423904436746
2003-11-25,0.9145292908849195
2003-11-26,0.954296010692396
2003-11-28,0.9665596180540843
2003-12-01,1.0677053652092883
2003-12-02,0.9686543445434257
2003-12-03,0.9509346607474501
2003-12-04,0.9408727475152775
2003-12-05,0.8328305798668628
2003-12-08,0.8473022702165363
2003-12-09,0.9523970870711627
2003-12-10,0.9856998365206365
2003-12-11,0.9845837994777651
2003-12-12,0.0966278512996036
2003-12-15,1.1003367736066993
2003-12-16,1.0450753122768428
2003-12-17,1.0594172883513477
2003-12-18,0.09387068754393121
2003-12-19,1.055827246279188
2003-12-22,1.0548783303759632
2003-12-23,1.0916524409343478
2003-12-24,1.026386375807413
2003-12-26,0.9449959763432878
2003-12-29,0.9533588117882738
2003-12-30,0.9347119550138365
2003-12-31,0.9303012556396294
2004-01-02,0.9673816177088501
2004-01-05,0.07869254563146895
2004-01-06,1.0710103379571267
2004-01-07,1.0574487551297276
2004-01-08,1.0430725439268178
2004-01-09,1.0988405374520072
2004-01-12,1.0540019920796928
2004-01-13,1.0612203562019016
2004-01-14,1.0485876277266983
2004-01-15,0.07727227354546293
2004-01-16,0.07667641256708672
2004-01-20,0.07183365212412039
2004-01-21,0.9440482943457201
2004-01-22,0.9856993186561211
2004-01-23,0.9380315949181661
2004-01-26,0.9535015157685062
2004-01-27,0.0644555678462953
2004-01-28,0.06896160801793186
2004-01-29,0.9260421791386931
2004-01-30,0.06755102726048627
2004-02-02,0.06741881062934295
2004-02-03,0.06685019499035202
2004-02-04,0.06305541845076557
2004-02-05,0.06431134022596816
2004-02-06,0.07129218460770248
2004-02-09,0.07109688119624216
2004-02-10,0.06416029067100687
2004-02-11,0.06664936173290446
2004-02-12,0.06889538220157798
2004-02-13,0.8968163239055007
2004-02-17,0.8711894359108266
2004-02-18,0.06470878665949047
2004-02-19,0.063270318848589
2004-02-20,0.8670626398715615
2004-02-23,0.06297956133936845
2004-02-24,0.061211237835283615
2004-02-25,0.06217595671690936
2004-02-26,0.06059572092406006
2004-02-27,0.7380298794529071
2004-03-01,0.06489514137063655
2004-03-02,0.8021515925076647
2004-03-03,0.06509246478401556
2004-03-04,0.0612926976529425
2004-03-05,0.05923007722557613
2004-03-08,0.060090108335386055
2004-03-09,0.06128400482929534
2004-03-10,0.06425066607254028
2004-03-11,0.06668962355299773
2004-03-12,0.06738119914891401
2004-03-15,0.07418790936937243
2004-03-16,0.07464895763563188
2004-03-17,0.07211649557396055
2004-03-18,0.07272209066818117
2004-03-19,0.07616279367624718
2004-03-22,0.07805073928139092
2004-03-23,0.07546854091603167
2004-03-24,0.07377606114199216
2004-03-25,0.0823164300888545
2004-03-26,0.08039842676064102
2004-03-29,0.07969028924477428
2004-03-30,0.6104473232651073
2004-03-31,0.9268539361634972
2004-04-01,0.9676822908967406
2004-04-02,0.0850807102052831
2004-04-05,0.9871903601542584
2004-04-06,0.9809883134831235
2004-04-07,0.985056264704916
2004-04-08,1.0207773358013712
2004-04-12,1.0205593936433952
2004-04-13,1.0345239590132316
2004-04-14,1.0303229357656611
2004-04-15,1.0471105248835846
2004-04-16,0.9794860957126864
2004-04-19,1.000255282081357
2004-04-20,0.9920375444204832
2004-04-21,1.0042591618380763
2004-04-22,1.0419933997065993
2004-04-23,1.0473485122377553
2004-04-26,1.0246960070474285
2004-04-27,1.0354446066508953
2004-04-28,0.9598343898968011
2004-04-29,0.9823033972459378
2004-04-30,1.0105138707940555
2004-05-03,1.0191165411792609
2004-05-04,0.826012209895482
2004-05-05,0.9471750186836608
2004-05-06,1.048111867061808
2004-05-07,1.039966868175834
2004-05-10,1.067268755019322
2004-05-11,1.0473542759481753
2004-05-12,1.0958260467830507
2004-05-13,1.0918538681281282
2004-05-14,1.0847924871229737
2004-05-17,1.1397699015147882
2004-05-18,1.1237169156112898
2004-05-19,1.113271968003236
2004-05-20,1.1397912943292974
2004-05-21,1.125271026297066
2004-05-24,1.1163825538731742
2004-05-25,1.1722328665077884
2004-05-26,1.1649894272159442
2004-05-27,1.196113982358313
2004-05-28,1.2118409492876563
2004-06-01,1.212067633977684
2004-06-02,1.2343338028902875
2004-06-03,1.2266666440125769
2004-06-04,1.1442357544110255
2004-06-07,1.0993323541578384
2004-06-08,1.118273070364332
2004-06-09,1.072811994619226
2004-06-10,1.083880073180611
2004-06-14,1.0656663777933875
2004-06-15,1.07589333685971
2004-06-16,1.0510184302732903
2004-06-17,1.0407276275105686
2004-06-18,1.0603923496222694
2004-06-21,1.0449688385777052
2004-06-22,0.9892840648885174
2004-06-23,0.9875226316826529
2004-06-24,0.9802651485193848
2004-06-25,0.986072760641648
2004-06-28,0.9760370147027935
2004-06-29,0.9585814387061549
2004-06-30,0.9571939826213263
2004-07-01,0.948747655767104
2004-07-02,0.9493976787960433
2004-07-06,0.9305308486196926
2004-07-07,0.9413592130750349
2004-07-08,0.9326530296729849
2004-07-09,0.9233936009117927
2004-07-12,0.9201525345653704
2004-07-13,0.9284445321089042
2004-07-14,0.9200995506454723
2004-07-15,0.907399784389104
2004-07-16,0.838751942834019
2004-07-19,0.8600295832537044
2004-07-20,0.8829702181114792
2004-07-21,0.9081427946752771
2004-07-22,0.9343520606484749
2004-07-23,0.9854517495368748
2004-07-26,0.09181733941365226
2004-07-27,0.08954846119563838
2004-07-28,1.0856109593898853
2004-07-29,1.0482181419288672
2004-07-30,1.1062978385361926
2004-08-02,1.051120913683541
2004-08-03,0.08979305784578083
2004-08-04,0.08356334718024791
2004-08-05,0.08361117760066204
2004-08-06,0.09335044684149972
2004-08-09,0.09455270116819131
2004-08-10,1.1138476382349614
2004-08-11,1.125819584599187
2004-08-12,1.1061834957097247
2004-08-13,1.136282909439651
2004-08-16,1.1443504656723897
2004-08-17,1.1577829181976134
2004-08-18,1.2156815862289054
2004-08-19,1.2410147423960538
2004-08-20,1.2307984423541127
2004-08-23,1.2128555898449647
2004-08-24,1.1853702871871261
2004-08-25,1.1871639943858012
2004-08-26,1.2238438437701826
2004-08-27,1.1704824321049339
2004-08-30,1.1804072162243722
2004-08-31,1.1944073764565475
2004-09-01,1.1585461485718023
2004-09-02,1.1994123936939276
2004-09-03,1.1838455939267596
2004-09-07,1.2064230615231408
2004-09-08,1.2408027040648104
2004-09-09,1.2444830412495231
2004-09-10,1.2149355429231194
2004-09-13,1.2257551564440698
2004-09-14,0.09891316367498668
2004-09-15,0.10001824740329619
2004-09-16,1.247397460096782
2004-09-17,1.2614916175697894
2004-09-20,1.2620654895328625
2004-09-21,1.22829522476054
2004-09-22,1.267760509497289
2004-09-23,1.2360286511172838
2004-09-24,1.228174550161906
2004-09-27,1.2222961032536046
2004-09-28,1.2584305021495696
2004-09-29,1.3206967916680803
2004-09-30,1.290047257752233
2004-10-01,1.2804325323327932
2004-10-04,1.2881487431152827
2004-10-05,1.3064068142219112
2004-10-06,1.2924112997395203
2004-10-07,1.28886981667406
2004-10-08,1.2479743601913562
2004-10-11,1.2603695853508385
2004-10-12,1.2694681879004843
2004-10-13,1.2850384848360787
2004-10-14,1.1837831735012276
2004-10-15,1.1337826461512752
2004-10-18,1.1295619856755441
2004-10-19,0.113976800201974
2004-10-20,1.177691695887091
2004-10-21,1.1645295482500833
2004-10-22,1.1300230490630705
2004-10-25,1.145292576044351
2004-10-26,1.1863986249975893
2004-10-27,1.1155635347105313
2004-10-28,1.0946567425106084
2004-10-29,1.086935890750222
2004-11-01,0.09530326328999263
2004-11-02,0.09391236018830415
2004-11-03,0.7618556783998652
2004-11-04,0.10112586888317812
2004-11-05,0.08869206012143026
2004-11-08,0.08934719557007371
2004-11-09,0.08603871647657378
2004-11-10,0.08530807267589811
2004-11-11,1.0956578770437457
2004-11-12,1.0902935382881662
2004-11-15,1.0709681879991235
2004-11-16,0.08085116746775357
2004-11-17,0.08715917934110633
2004-11-18,0.08292609774209028
2004-11-19,0.08584937464149094
2004-11-22,1.0785576779631654
2004-11-23,1.0703135166663547
2004-11-24,1.0627304347822062
2004-11-26,0.08554300315074376
2004-11-29,0.08970003460957947
2004-11-30,0.08766798067033722
2004-12-01,0.08584526071256376
2004-12-02,0.08323716631619042
2004-12-03,0.0833612242435983
2004-12-06,0.08274876923834207
2004-12-07,0.09174308611478686
2004-12-08,0.09254934706087542
2004-12-09,0.08929288537767859
2004-12-10,0.3814824642071625
2004-12-13,0.3829289589209466
2004-12-14,0.0875011811134011
2004-12-15,0.9953821949798176
2004-12-16,0.08428623531770178
2004-12-17,0.0805422522275749
2004-12-20,0.07994385271675933
2004-12-21,0.07703399171348967
2004-12-22,0.0841854328159076
2004-12-23,0.07747804431899012
2004-12-27,0.08107602888154519
2004-12-28,0.9752415357390516
2004-12-29,0.0789513603978217
2004-12-30,0.08070656057951434
2004-12-31,0.08155676019653423
2005-01-03,0.0819521533061773
2005-01-04,0.08111458428563915
2005-01-05,0.08378121257543092
2005-01-06,0.08429157266442905
2005-01-07,1.0128694162558212
2005-01-10,0.08739478689720419
2005-01-11,1.0200750930010893
2005-01-12,1.013686594568107
2005-01-13,0.994817380802579
2005-01-14,1.0228105374474519
2005-01-18,0.989961885656568
2005-01-19,1.0259808761806124
2005-01-20,0.9537237813731116
2005-01-21,1.0233874814223238
2005-01-24,1.049460465308172
2005-01-25,1.081023024379346
2005-01-26,1.117275699938518
2005-01-27,1.1452173895504099
2005-01-28,1.1630368662948418
2005-01-31,1.1320829637681415
2005-02-01,0.0803521485274897
2005-02-02,0.07669809597560735
2005-02-03,1.1002027271657435
2005-02-04,1.1032335062197416
2005-02-07,0.07910906021030227
2005-02-08,0.08166109900358776
2005-02-09,0.07802002046412103
2005-02-10,0.07829700506944597
2005-02-11,1.0754350395648098
2005-02-14,1.074084116812411
2005-02-15,1.0474231776715617
2005-02-16,0.07508104651832645
2005-02-17,1.0621756782046399
2005-02-18,1.017682506373048
2005-02-22,1.1184474637137118
2005-02-23,1.0639673216673626
2005-02-24,1.0282613211632499
2005-02-25,1.025999834282885
2005-02-28,1.0175153655669704
2005-03-01,1.001184319854039
2005-03-02,0.07908339183666732
2005-03-03,0.07824869825660408
2005-03-04,1.0394738323480657
2005-03-07,1.0459774274920492
2005-03-08,1.075110754590567
2005-03-09,1.0858374332807204
2005-03-10,1.1078314124001511
2005-03-11,1.087269186203687
2005-03-14,1.0991468212060225
2005-03-15,1.1249142851720826
2005-03-16,1.1002485676238978
2005-03-17,1.1067776341500155
2005-03-18,1.0971672711558147
2005-03-21,1.0864856063022996
2005-03-22,1.0647202568755187
2005-03-23,1.0479672488512703
2005-03-24,1.0128066808544482
2005-03-28,0.9937861980761018
2005-03-29,0.9565664905389009
2005-03-30,0.9828384867692991
