window,train_start,train_end,test_start,test_end,best_capacity,train_sharpe,test_sharpe,test_return,test_baseline_sharpe,test_baseline_return,sharpe_advantage
23,2023-12-14 00:00:00+00:00,2024-06-10 00:00:00+00:00,2024-06-11 00:00:00+00:00,2024-07-10 00:00:00+00:00,0.2,4.199845228399723,0.0,0.0,2.297513617730785,0.08618865309355206,-2.297513617730785
24,2024-01-13 00:00:00+00:00,2024-07-10 00:00:00+00:00,2024-07-11 00:00:00+00:00,2024-08-09 00:00:00+00:00,0.8500000000000001,3.7346705137295317,3.116527028155888,0.21303932013371774,3.6982740568462615,0.2760503584913392,-0.5817470286903736
25,2024-02-12 00:00:00+00:00,2024-08-09 00:00:00+00:00,2024-08-10 00:00:00+00:00,2024-09-08 00:00:00+00:00,0.2,3.609140939862282,0.0,0.0,2.7455032520919933,0.09950587329346572,-2.7455032520919933
26,2024-03-13 00:00:00+00:00,2024-09-08 00:00:00+00:00,2024-09-09 00:00:00+00:00,2024-10-08 00:00:00+00:00,0.8500000000000001,2.9965022831367354,4.718277778297977,0.1642653257864708,-6.444779886370516,-0.15203394227204625,11.163057664668493
27,2024-04-12 00:00:00+00:00,2024-10-08 00:00:00+00:00,2024-10-09 00:00:00+00:00,2024-11-07 00:00:00+00:00,0.1,5.168816823406306,0.0,0.0,-0.28356904170538366,-0.025155194225302546,0.28356904170538366
28,2024-05-12 00:00:00+00:00,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,2024-12-07 00:00:00+00:00,0.1,5.168816823406306,0.0,0.0,4.330996867761242,0.20206496249839012,-4.330996867761242
29,2024-06-11 00:00:00+00:00,2024-12-07 00:00:00+00:00,2024-12-08 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.2,4.045585963104646,0.0,0.0,-2.7404230449908797,-0.05734984199874449,2.7404230449908797
30,2024-07-11 00:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01-07 00:00:00+00:00,2025-02-05 00:00:00+00:00,0.35000000000000003,3.4870136549178503,-5.291502622129181,-0.0198949893171253,4.01157485559559,0.18874279454402276,-9.303077477724772
31,2024-08-10 00:00:00+00:00,2025-02-05 00:00:00+00:00,2025-02-06 00:00:00+00:00,2025-03-07 00:00:00+00:00,0.15000000000000002,5.608892256075419,0.0,0.0,2.362066406640925,0.17406362143122034,-2.362066406640925
32,2024-09-09 00:00:00+00:00,2025-03-07 00:00:00+00:00,2025-03-08 00:00:00+00:00,2025-04-06 00:00:00+00:00,0.1,6.8737456841131594,0.0,0.0,1.0566183241658795,0.05086802413179359,-1.0566183241658795
33,2024-10-09 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-07 00:00:00+00:00,2025-05-06 00:00:00+00:00,0.1,8.798635985693334,0.0,0.0,1.156680815368053,0.014909549258648402,-1.156680815368053
34,2024-11-08 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-07 00:00:00+00:00,2025-06-05 00:00:00+00:00,0.1,9.041399065950266,0.0,0.0,3.1320336013664445,0.10768066704714063,-3.1320336013664445
35,2024-12-08 00:00:00+00:00,2025-06-05 00:00:00+00:00,2025-06-06 00:00:00+00:00,2025-07-05 00:00:00+00:00,0.30000000000000004,6.261584422455963,0.0,0.0,2.1389003529146304,0.0615111330659146,-2.1389003529146304
36,2025-01-07 00:00:00+00:00,2025-07-05 00:00:00+00:00,2025-07-06 00:00:00+00:00,2025-08-04 00:00:00+00:00,0.30000000000000004,5.616222412168162,0.0,0.0,-5.127507017336224,-0.16778987275083923,5.127507017336224
37,2025-02-06 00:00:00+00:00,2025-08-04 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-09-03 00:00:00+00:00,0.2,7.425163259295184,0.0,0.0,-1.0858991143490442,-0.04712636244362456,1.0858991143490442
38,2025-03-08 00:00:00+00:00,2025-09-03 00:00:00+00:00,2025-09-04 00:00:00+00:00,2025-10-03 00:00:00+00:00,0.1,11.816650536388183,0.0,0.0,-1.5123365475871138,-0.06071465956881261,1.5123365475871138
39,2025-04-07 00:00:00+00:00,2025-10-03 00:00:00+00:00,2025-10-04 00:00:00+00:00,2025-11-02 00:00:00+00:00,0.1,11.024663415740674,0.0,0.0,-8.144732549437629,-0.17398103257786623,8.144732549437629
40,2025-05-07 00:00:00+00:00,2025-11-02 00:00:00+00:00,2025-11-03 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.2,5.74592517710695,0.0,0.0,-1.9588449600822007,-0.07838922775822388,1.9588449600822007
41,2025-06-06 00:00:00+00:00,2025-12-02 00:00:00+00:00,2025-12-03 00:00:00+00:00,2026-01-01 00:00:00+00:00,0.25,6.658834244403954,0.0,0.0,2.0364236970393255,0.01996085482832144,-2.0364236970393255
42,2025-07-06 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-31 00:00:00+00:00,0.2,6.6802585258212535,0.0,0.0,3.8371899442764357,0.19941104498648876,-3.8371899442764357
