window,train_start,train_end,test_start,test_end,best_capacity,train_sharpe,test_sharpe,test_return,test_baseline_sharpe,test_baseline_return,sharpe_advantage
23,2023-12-14 00:00:00+00:00,2024-06-10 00:00:00+00:00,2024-06-11 00:00:00+00:00,2024-07-10 00:00:00+00:00,0.15000000000000002,5.252631174950803,0.0,0.0,1.7629448481395724,0.053409458236558294,-1.7629448481395724
24,2024-01-13 00:00:00+00:00,2024-07-10 00:00:00+00:00,2024-07-11 00:00:00+00:00,2024-08-09 00:00:00+00:00,0.15000000000000002,5.587572004338222,0.0,0.0,1.061667058839466,0.046901840245937354,-1.061667058839466
25,2024-02-12 00:00:00+00:00,2024-08-09 00:00:00+00:00,2024-08-10 00:00:00+00:00,2024-09-08 00:00:00+00:00,0.8,2.3818181937049046,1.704974827565707,0.05221754177529325,3.3814540776197872,0.08625385843010758,-1.6764792500540802
26,2024-03-13 00:00:00+00:00,2024-09-08 00:00:00+00:00,2024-09-09 00:00:00+00:00,2024-10-08 00:00:00+00:00,0.5,1.8295458203438488,-0.6301538404290707,-0.012825760857285373,-5.582594118016359,-0.10333108261063606,4.9524402775872876
27,2024-04-12 00:00:00+00:00,2024-10-08 00:00:00+00:00,2024-10-09 00:00:00+00:00,2024-11-07 00:00:00+00:00,0.75,2.703991007697342,3.653617977472124,0.11882882887749457,3.0754346282683787,0.11629235107734903,0.5781833492037451
28,2024-05-12 00:00:00+00:00,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,2024-12-07 00:00:00+00:00,0.1,3.436890528506431,0.0,0.0,3.5221412324122827,0.0852102516187827,-3.5221412324122827
29,2024-06-11 00:00:00+00:00,2024-12-07 00:00:00+00:00,2024-12-08 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.15000000000000002,6.275621080683406,0.0,0.0,0.6023402205533436,0.010254556668397141,-0.6023402205533436
30,2024-07-11 00:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01-07 00:00:00+00:00,2025-02-05 00:00:00+00:00,0.15000000000000002,6.161711227811759,0.0,0.0,0.0470727632340648,-0.0015622510984285576,-0.0470727632340648
31,2024-08-10 00:00:00+00:00,2025-02-05 00:00:00+00:00,2025-02-06 00:00:00+00:00,2025-03-07 00:00:00+00:00,0.1,8.79307412501113,0.0,0.0,1.1951445772156346,0.052846906015656225,-1.1951445772156346
32,2024-09-09 00:00:00+00:00,2025-03-07 00:00:00+00:00,2025-03-08 00:00:00+00:00,2025-04-06 00:00:00+00:00,0.35000000000000003,4.1295663328716765,-5.291502622129182,-0.00418168424073373,-0.051156386203012806,-0.0056276447756204995,-5.24034623592617
33,2024-10-09 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-07 00:00:00+00:00,2025-05-06 00:00:00+00:00,0.25,3.9217961199030986,0.0,0.0,1.4856106041238486,0.020958230646348497,-1.4856106041238486
34,2024-11-08 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-07 00:00:00+00:00,2025-06-05 00:00:00+00:00,0.35000000000000003,2.672305469227058,-5.291502622129181,-0.02102192141606407,-1.6863867897466844,-0.026372543160466555,-3.6051158323824968
35,2024-12-08 00:00:00+00:00,2025-06-05 00:00:00+00:00,2025-06-06 00:00:00+00:00,2025-07-05 00:00:00+00:00,0.15000000000000002,3.978739714460273,0.0,0.0,0.07621545314690156,0.0002276510933545417,-0.07621545314690156
36,2025-01-07 00:00:00+00:00,2025-07-05 00:00:00+00:00,2025-07-06 00:00:00+00:00,2025-08-04 00:00:00+00:00,0.2,4.2365012036460605,0.0,0.0,1.389396141001609,0.017890006006649806,-1.389396141001609
37,2025-02-06 00:00:00+00:00,2025-08-04 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-09-03 00:00:00+00:00,0.15000000000000002,8.327088315804907,0.0,0.0,1.6248986401949719,0.03164734373193934,-1.6248986401949719
38,2025-03-08 00:00:00+00:00,2025-09-03 00:00:00+00:00,2025-09-04 00:00:00+00:00,2025-10-03 00:00:00+00:00,0.1,9.992364573061709,0.0,0.0,-1.5777341808605974,-0.038287924655668215,1.5777341808605974
39,2025-04-07 00:00:00+00:00,2025-10-03 00:00:00+00:00,2025-10-04 00:00:00+00:00,2025-11-02 00:00:00+00:00,0.15000000000000002,8.665450847111424,0.0,0.0,-7.701423038123812,-0.11292950279819491,7.701423038123812
40,2025-05-07 00:00:00+00:00,2025-11-02 00:00:00+00:00,2025-11-03 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.15000000000000002,3.004793143110341,0.0,0.0,-2.283979105585147,-0.06945366398165875,2.283979105585147
41,2025-06-06 00:00:00+00:00,2025-12-02 00:00:00+00:00,2025-12-03 00:00:00+00:00,2026-01-01 00:00:00+00:00,0.1,9.275757590363716,0.0,0.0,2.5778120357161596,0.023795566237753363,-2.5778120357161596
42,2025-07-06 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-31 00:00:00+00:00,0.1,7.872932390014581,0.0,0.0,3.6706427140341003,0.12212340017188872,-3.6706427140341003
