symbol,capacity,sharpe_ratio,total_return,max_drawdown,num_trades,num_points
SPY,0.1,2.237723196880916,0.3579051644077067,-0.14023548340800707,12,173
SPY,0.15000000000000002,1.439001285065131,0.2745721724035881,-0.13399323356112464,31,260
SPY,0.20000000000000004,0.7948953670885366,0.15578074344958726,-0.13399323356112502,41,347
SPY,0.25000000000000006,0.7915791905487943,0.17729071819214837,-0.13399323356112502,55,433
SPY,0.30000000000000004,1.2937031360758098,0.3534447121695843,-0.08839463778508855,66,520
SPY,0.3500000000000001,1.3582569401870412,0.4117074302020398,-0.08839463778508817,72,607
SPY,0.40000000000000013,1.6691761719454261,0.5852880178303888,-0.08839463778508858,78,694
SPY,0.4500000000000001,1.5377233506426902,0.5696241749616695,-0.08839463778508828,84,780
SPY,0.5000000000000001,1.615995507579038,0.6497919580571117,-0.0883946377850883,95,867
SPY,0.5500000000000002,1.4948403088215743,0.6315217001084181,-0.08839463778508831,104,954
SPY,0.6000000000000002,1.5003617617769929,0.672644772655905,-0.08839463778508846,114,1041
SPY,0.6500000000000001,1.536747820756596,0.7340743335905608,-0.08839463778508827,120,1127
SPY,0.7000000000000002,1.4083909969688384,0.6878540584580413,-0.08839463778508837,136,1214
SPY,0.7500000000000002,1.3397375300962862,0.6774430895347752,-0.08839463778508826,140,1301
SPY,0.8000000000000003,1.3672519919581996,0.7288042866196931,-0.08839463778508842,146,1388
SPY,0.8500000000000003,1.244627136230692,0.6723250391809601,-0.08839463778508838,162,1474
SPY,0.9000000000000002,1.2204813624904052,0.6803713170140286,-0.08839463778508835,174,1561
SPY,0.9500000000000003,1.1821137370346242,0.67692881275133,-0.08839463778508835,180,1648
