symbol,capacity,sharpe_ratio,total_return,max_drawdown,num_trades,num_points
ETH-USD,0.1,2.989946965478936,21.275627525166247,-0.18588439174548968,97,872
ETH-USD,0.15000000000000002,2.650163494141342,34.972011401748766,-0.22938495501891368,141,1309
ETH-USD,0.20000000000000004,2.7567274957270715,77.17510356749743,-0.18364844190886298,189,1745
ETH-USD,0.25000000000000006,2.8515360078094383,164.3177449788374,-0.1398603095496899,222,2181
ETH-USD,0.30000000000000004,2.738810906193333,232.0161417781623,-0.1209702500135395,270,2618
ETH-USD,0.3500000000000001,2.8891909227937296,540.6266031732272,-0.11185324873454301,309,3054
ETH-USD,0.40000000000000013,2.7389131258568096,620.3524722505717,-0.10710330385709349,375,3490
ETH-USD,0.4500000000000001,2.4784385725408096,511.2978135842312,-0.1071033038570935,451,3927
ETH-USD,0.5000000000000001,2.3773780248311587,603.3826448600888,-0.10710330385709338,495,4363
ETH-USD,0.5500000000000002,2.4722691798648393,1124.0061963530263,-0.1099943574428741,539,4799
ETH-USD,0.6000000000000002,2.317613164981318,1019.7406896832545,-0.10710330385709373,597,5236
ETH-USD,0.6500000000000001,2.2321886597879574,1088.792307942624,-0.10710330385709342,641,5672
ETH-USD,0.7000000000000002,2.259861092203902,1621.9674318665511,-0.10710330385709323,699,6108
ETH-USD,0.7500000000000002,2.1902857540031175,1730.1715495224066,-0.10710330385709371,755,6545
ETH-USD,0.8000000000000003,2.1372171476827133,1888.4064504080552,-0.10710330385709356,812,6981
ETH-USD,0.8500000000000003,2.1301739035705323,2387.841570591587,-0.10710330385709332,864,7417
ETH-USD,0.9000000000000002,2.053313849807247,2293.8421844024056,-0.10710330385709331,926,7854
ETH-USD,0.9500000000000003,2.002465413393341,2367.5176474378245,-0.1071033038570934,982,8290
