Unnamed: 0,0,regime
2002-09-25,0.975061698640304,Rigid
2002-09-26,1.177062946241318,Rigid
2002-09-27,1.1871067838196203,Rigid
2002-09-30,1.1588896310415635,Rigid
2002-10-01,1.1325177883352122,Rigid
2002-10-02,0.7611106947857489,Rigid
2002-10-03,0.802282890374999,Rigid
2002-10-04,0.7742659794418012,Rigid
2002-10-07,1.1723292972639237,Rigid
2002-10-08,0.8838315915443088,Rigid
2002-10-09,0.8783360688537354,Rigid
2002-10-10,0.8373436257901251,Rigid
2002-10-11,0.8330584696537013,Rigid
2002-10-14,0.8201697910589867,Rigid
2002-10-15,0.7379754938071225,Rigid
2002-10-16,0.7184364432197827,Rigid
2002-10-17,0.7518087846520596,Rigid
2002-10-18,0.7453472051679598,Rigid
2002-10-21,0.6681406213832555,Rigid
2002-10-22,0.8035198652143262,Rigid
2002-10-23,0.8032670799834823,Rigid
2002-10-24,0.7205562083720608,Rigid
2002-10-25,0.6952983445060253,Rigid
2002-10-28,0.7865857881299767,Rigid
2002-10-29,0.736836435280761,Rigid
2002-10-30,0.77824875325832,Rigid
2002-10-31,0.7724239291981468,Rigid
2002-11-01,0.6880306072292116,Rigid
2002-11-04,0.6633075337357159,Rigid
2002-11-05,0.7145638151638902,Rigid
2002-11-06,0.6872085066271447,Rigid
2002-11-07,0.7107453031852546,Rigid
2002-11-08,0.779576450138023,Rigid
2002-11-11,0.7916546106552778,Rigid
2002-11-12,0.8019624945992084,Rigid
2002-11-13,0.8038810210195143,Rigid
2002-11-14,0.8159869827807125,Rigid
2002-11-15,0.786678762571015,Rigid
2002-11-18,0.7639373839808451,Rigid
2002-11-19,0.7625358406309911,Rigid
2002-11-20,0.7758622092270968,Rigid
2002-11-21,0.7336531892103295,Rigid
2002-11-22,0.7471216035609881,Rigid
2002-11-25,0.7563483376529371,Rigid
2002-11-26,0.7354399644519792,Rigid
2002-11-27,0.7316274633808988,Rigid
2002-11-29,0.7650776991735615,Rigid
2002-12-02,0.7732016530945379,Rigid
2002-12-03,0.7789573959865155,Rigid
2002-12-04,0.7801318638691962,Rigid
2002-12-05,0.7723505528600402,Rigid
2002-12-06,0.7794660124153974,Rigid
2002-12-09,0.79006035696203,Rigid
2002-12-10,0.7923701619025922,Rigid
2002-12-11,0.7876079591194233,Rigid
2002-12-12,0.7871395378421959,Rigid
2002-12-13,0.7504802144174222,Rigid
2002-12-16,0.7577379786371822,Rigid
2002-12-17,0.7374303544916277,Rigid
2002-12-18,0.7660899676702826,Rigid
2002-12-19,0.7556536379883493,Rigid
2002-12-20,0.7448704362824591,Rigid
2002-12-23,0.7406502633134493,Rigid
2002-12-24,0.7372093414016991,Rigid
2002-12-26,0.7618390182664798,Rigid
2002-12-27,0.7455336144973552,Rigid
2002-12-30,0.7410945381369436,Rigid
2002-12-31,0.7040160731183256,Rigid
2003-01-02,0.697888460041548,Rigid
2003-01-03,0.6789043645338538,Rigid
2003-01-06,0.6743332397521452,Rigid
2003-01-07,0.7044965366806973,Rigid
2003-01-08,0.7569047366428576,Rigid
2003-01-09,0.7402552148713307,Rigid
2003-01-10,0.7305001039127229,Rigid
2003-01-13,0.7212613811477643,Rigid
2003-01-14,0.6802432498362488,Rigid
2003-01-15,0.6885632073571307,Rigid
2003-01-16,0.6910253378951179,Rigid
2003-01-17,0.6836988316218257,Rigid
2003-01-21,0.6956571885368249,Rigid
2003-01-22,0.7283235107595616,Rigid
2003-01-23,0.7557670575747201,Rigid
2003-01-24,0.7258619837547093,Rigid
2003-01-27,0.7372079752789604,Rigid
2003-01-28,0.7351473387789085,Rigid
2003-01-29,0.7330615431982694,Rigid
2003-01-30,0.7788374222010166,Rigid
2003-01-31,0.7924243867141099,Rigid
2003-02-03,0.7261376151816132,Rigid
2003-02-04,0.7470095582981884,Rigid
2003-02-05,0.7875686602949484,Rigid
2003-02-06,0.7736022899163031,Rigid
2003-02-07,0.7546405797231388,Rigid
2003-02-10,0.7636656556882537,Rigid
2003-02-11,0.764805285659879,Rigid
2003-02-12,0.7670688453909206,Rigid
2003-02-13,0.7451697775401248,Rigid
2003-02-14,0.7447613754987346,Rigid
2003-02-18,0.7502327788726468,Rigid
2003-02-19,0.7249216329524399,Rigid
2003-02-20,0.7481780350976658,Rigid
2003-02-21,0.7353132563670577,Rigid
2003-02-24,0.7838168746909753,Rigid
2003-02-25,0.5133196530563013,Rigid
2003-02-26,0.8212923507706763,Rigid
2003-02-27,0.826789006623824,Rigid
2003-02-28,0.8223898300267067,Rigid
2003-03-03,0.8233412861040602,Rigid
2003-03-04,0.789667375106845,Rigid
2003-03-05,0.7843547700657942,Rigid
