ticker
WDC
QCOM
CRH
HUBB
YUM
NTAP
URI
CAT
MU
AMAT
INTC
IVZ
SWKS
ADI
GLW
AAPL
ON
APH
MSFT
TROW
AMD
KLAC
LRCX
WFC
OMC
CMCSA
WMB
AVY
MTB
RCL
CTSH
NDAQ
SCHW
FICO
PNR
BEN
CCL
PH
TT
STT
C
DOV
HST
PTC
ETN
ALL
FAST
CINF
PFG
MS
BK
MMM
MAR
LIN
GWW
KEY
TFC
GPN
MCO
CRL
IEX
AXP
MET
POOL
PAYX
SNA
NSC
IT
AMZN
ECL
NUE
BLK
COF
USB
BAC
GS
ROK
L
PRU
EA
EME
JPM
GEN
RF
CMI
PNC
RJF
VMC
KIM
ODFL
FISV
TRMB
FIX
CPRT
WAB
PGR
OKE
CTAS
AZO
UNP
TSCO
NTRS
SLB
ESS
GD
AJG
PKG
HUM
CSCO
RTX
GE
HAL
AON
J
NOC
LOW
REG
HD
REGN
MTD
AVB
BALL
A
PPG
PSA
RVTY
DHI
BIIB
DOC
CPT
FCX
NVR
MAS
EL
EFX
GILD
SPGI
INTU
PNW
ERIE
VLO
GL
ACGL
IFF
MRSH
AME
CVS
COR
AKAM
ALGN
SNPS
TER
NVDA
ISRG
FDX
WAT
UPS
MCD
VRSN
WM
CIEN
FFIV
DECK
TJX
LII
TYL
CHRW
AFL
EG
CB
DRI
LLY
MO
EOG
BSX
AEE
NI
EQT
EVRG
TPL
ATO
XOM
EIX
SWK
TMO
DHR
SPG
FDS
ACN
ROL
HON
MAA
WEC
WELL
EW
AXON
COO
LMT
FE
ADM
SYY
MDT
ED
O
CNP
CMS
LNT
SO
PEG
DUK
UHS
BAX
DIS
INCY
GRMN
SBAC
GPC
CCI
WST
CNC
ADBE
MRK
APA
BMY
XEL
JNJ
VTRS
CL
VTR
NEM
T
VZ
ELV
RMD
SBUX
NKE
ES
HRL
GIS
HSY
MNST
PFE
CPB
KO
MDLZ
MKC
STZ
CI
BF-B
NFLX
CHD
HSIC
TPR
