q_int,lambda1,lambda_int,delta_lambda,tau,delta_ds_max,R2_exp,R2_power,Regime,n_nodes,n_edges,components,lcc_fraction,zero_degree_fraction,zero_eig_mult,disconnected
0.80,0.007536,7.339387,7.331851,7.331851,0.001524,1.000,0.973,Disconnected,258,4630,5,0.9806,0.0116,5,True
0.60,0.007536,3.589648,3.582112,3.582112,0.012751,1.000,0.971,Disconnected,258,4630,5,0.9806,0.0116,5,True
0.40,0.007536,1.420587,1.413051,1.413051,0.031616,0.999,0.987,Disconnected,258,4630,5,0.9806,0.0116,5,True
0.20,0.007536,0.508805,0.501269,0.501269,0.044168,0.994,0.998,Disconnected,258,4630,5,0.9806,0.0116,5,True
0.10,0.007536,0.197441,0.189905,0.189905,0.047118,0.995,1.000,Disconnected,258,4630,5,0.9806,0.0116,5,True
