ts_utc,mode,bundle_id,status,event_id,pair_kind,pair_label,rule_hash,token_a,token_b,shares,gross_cost,fee_total,net_cost,expected_payout,locked_pnl,note
2026-02-21T20:01:09.026493+00:00,paper,18558:6cf69eb9b500a456:1771704069.026460,OPEN_EXPECTED,18558,YES_PAIR,"Ukraine election called by June 30, 2026? [YES] + Ukraine election called by March 31, 2026? [YES]",6cf69eb9b500a456,46392352440640691691403913163796829338832584619874037984805155658143745393622,21820831062008538748141247411218227574369608245896609859008771625480147552641,3363.04,845.701,0.0,855.79012,3363.04,2507.24988,paper_realistic
2026-02-21T20:01:09.724395+00:00,paper,42365:1f419bfc8c02600e:1771704069.724358,OPEN_EXPECTED,42365,YES_PAIR,"Will the U.S. invade Venezuela by March 31, 2026? [YES] + Will the U.S. invade Venezuela by December 31, 2026? [YES]",1f419bfc8c02600e,54544668003738758433824606108816646836259157102970789856801480211062827461038,79603803658358131940134977667341878755182252168903267751430480581926601085521,2275.24,357.55427999999995,0.0,364.37999999999994,2275.24,1910.86,paper_realistic
2026-02-21T20:01:10.176602+00:00,paper,60689:c38d9f012b5e5f72:1771704070.176571,OPEN_EXPECTED,60689,NO_PAIR,"Will a new Cabinet of the Netherlands be sworn in by June 30, 2026? [NO] + Will a new Cabinet of the Netherlands be sworn in by March 31, 2026? [NO]",c38d9f012b5e5f72,46598748246329424218296276523821213339970789897931855849226315714471969273398,73025951569892603784225863884183759553806257112984603863577978594113618497573,1603.22,15.063930000000003,0.0,19.873590000000004,1603.22,1583.34641,paper_realistic
2026-02-21T20:01:11.079046+00:00,paper,46859:1e630dfaf152d09c:1771704071.079017,OPEN_EXPECTED,46859,NO_PAIR,Will Trump visit China by March 31? [NO] + Will Trump visit China by April 30? [NO],1e630dfaf152d09c,34959653270248277895998537576699386633628103699961418128263646811519422147740,81197514885731569817347387229955339496528996514718498705783416912577413567672,1706.42,531.372,0.0,536.49126,1706.42,1169.92874,paper_realistic
2026-02-21T20:01:12.079194+00:00,paper,17858:c0c45dad3c01115e:1771704072.079121,OPEN_EXPECTED,17858,YES_PAIR,"Ukraine recognizes Russian sovereignty over its territory by June 30, 2026? [YES] + Ukraine recognizes Russian sovereignty over its territory by December 31, 2026? [YES]",c0c45dad3c01115e,3990636992955197269726492696316350470613735002003547307529304314694325536205,111407906413483830198481741547621131014289190946534570245645667771579973364067,388.0,98.94,0.0,100.104,388.0,287.896,paper_realistic
