ts_utc,mode,status,pair_kind,pair_label,event_id,event_title,rule_hash,token_a,token_b,leg_a_label,leg_b_label,best_ask_a,best_ask_b,best_bid_a,best_bid_b,vwap_a,vwap_b,worst_a,worst_b,levels_used_a,levels_used_b,fee_bps_a,fee_bps_b,fee_total_a,fee_total_b,edge_per_share,target_shares,est_profit,gross_cost,net_cost,fees,slippage_reserve,ops_cost,resp_a,resp_b,resp_hedge,reason,note
2026-02-21T20:01:09.027564+00:00,paper,FILLED,YES_PAIR,"Ukraine election called by June 30, 2026? [YES] + Ukraine election called by March 31, 2026? [YES]",18558,Ukraine election called by...?,6cf69eb9b500a456,46392352440640691691403913163796829338832584619874037984805155658143745393622,21820831062008538748141247411218227574369608245896609859008771625480147552641,YES,YES,0.17,0.05,0.16,0.04,0.19709506874732385,0.054374137684951716,0.32,0.06,10,2,0.0,0.0,0.0,0.0,0.7455307935677244,3363.04,2507.2499,845.701,855.79012,0.0,10.08912,0.0,,,,,paper_realistic_fill
2026-02-21T20:01:09.725160+00:00,paper,FILLED,YES_PAIR,"Will the U.S. invade Venezuela by March 31, 2026? [YES] + Will the U.S. invade Venezuela by December 31, 2026? [YES]",42365,Will the U.S. invade Venezuela by...?,1f419bfc8c02600e,54544668003738758433824606108816646836259157102970789856801480211062827461038,79603803658358131940134977667341878755182252168903267751430480581926601085521,YES,YES,0.025,0.13,0.024,0.12,0.027150138007418997,0.13,0.03,0.13,5,1,0.0,0.0,0.0,0.0,0.839849861992581,2275.24,1910.86,357.5543,364.37999999999994,0.0,6.82572,0.0,,,,,paper_realistic_fill
2026-02-21T20:01:10.177138+00:00,paper,FILLED,NO_PAIR,"Will a new Cabinet of the Netherlands be sworn in by June 30, 2026? [NO] + Will a new Cabinet of the Netherlands be sworn in by March 31, 2026? [NO]",60689,Will a new Cabinet of the Netherlands be sworn in by...?,c38d9f012b5e5f72,46598748246329424218296276523821213339970789897931855849226315714471969273398,73025951569892603784225863884183759553806257112984603863577978594113618497573,NO,NO,0.004,0.004,0.002,0.003,0.004,0.005396046706004167,0.004,0.007,1,3,0.0,0.0,0.0,0.0,0.9876039532939959,1603.22,1583.3464,15.0639,19.873590000000004,0.0,4.80966,0.0,,,,,paper_realistic_fill
2026-02-21T20:01:11.079520+00:00,paper,FILLED,NO_PAIR,Will Trump visit China by March 31? [NO] + Will Trump visit China by April 30? [NO],46859,Will Trump visit China by...?,1e630dfaf152d09c,34959653270248277895998537576699386633628103699961418128263646811519422147740,81197514885731569817347387229955339496528996514718498705783416912577413567672,NO,NO,0.217,0.07,0.204,0.06,0.24139578767243702,0.07,0.265,0.07,10,1,0.0,0.0,0.0,0.0,0.685604212327563,1706.42,1169.9287,531.372,536.49126,0.0,5.119260000000001,0.0,,,,,paper_realistic_fill
2026-02-21T20:01:12.080461+00:00,paper,FILLED,YES_PAIR,"Ukraine recognizes Russian sovereignty over its territory by June 30, 2026? [YES] + Ukraine recognizes Russian sovereignty over its territory by December 31, 2026? [YES]",17858,Ukraine recognizes Russian sovereignty over its territory by...?,c0c45dad3c01115e,3990636992955197269726492696316350470613735002003547307529304314694325536205,111407906413483830198481741547621131014289190946534570245645667771579973364067,YES,YES,0.07,0.18,0.05,0.17,0.07,0.185,0.07,0.19,1,2,0.0,0.0,0.0,0.0,0.742,388.0,287.896,98.94,100.104,0.0,1.164,0.0,,,,,paper_realistic_fill
